model_name,avg_accuracy,avg_accuracy_no_draw,total_correct,total_predictions,total_no_draw_correct,total_no_draw_total,avg_brier_score
Uniform Baseline,0.24178607354755713,0.0,1158,4791,0,0,0.7582139264524428
Random Baseline,0.37903507043247836,0.5033898059927545,1813,4791,1784,3549,0.33505755538912446
Elo (standard),0.5175760184714298,0.7037764278022727,2481,4791,2419,3439,0.2732969307439217
Elo (goal diff),0.5283526985615604,0.7062451076272552,2533,4791,2489,3525,0.27082913196396047
Elo (time weighted),0.5146722901656875,0.7012708014763592,2468,4791,2392,3416,0.2758597016962144
Elo (combined),0.5268589560861939,0.701641774402655,2525,4791,2479,3534,0.26682639619522813
